casn,Liver,Hepatobiliary,Hepatocellular,Cluster
124858-35-1,,,,19
19216-56-9,1.0,1.0,1.0,400
110871-86-8,1.0,1.0,1.0,19
161967-81-3,1.0,1.0,1.0,19
93106-60-6,,,,19
112811-59-3,1.0,1.0,1.0,19
118-10-5,,,,280
60-89-9,1.0,1.0,0.0,16
17321-77-6,1.0,1.0,1.0,176
303-49-1,1.0,1.0,1.0,176
50-49-7,1.0,1.0,1.0,176
113-52-0,1.0,1.0,1.0,176
7104-38-3,1.0,1.0,0.0,16
1094-08-2,1.0,0.0,0.0,16
63074-08-8,1.0,1.0,1.0,400
66108-95-0,,,,173
66104-23-2,1.0,1.0,1.0,278
52712-76-2,,,,400
81403-68-1,1.0,1.0,1.0,400
107133-36-8,1.0,1.0,1.0,223
82834-16-0,1.0,1.0,1.0,223
1224-92-6,,,,54
606-17-7,,,,152
91296-87-6,,,,19
98105-99-8,,,,19
5575-21-3,,,,5
30748-29-9,1.0,,,402
60925-61-3,1.0,0.0,1.0,5
29216-28-2,1.0,1.0,1.0,16
88598-74-7,1.0,1.0,1.0,16
37091-65-9,1.0,1.0,1.0,10
84-02-6,1.0,1.0,1.0,16
127294-70-6,,,,19
6119-47-7,1.0,1.0,1.0,280
56-54-2,1.0,1.0,1.0,280
130-95-0,1.0,1.0,1.0,280
207671-44-1,1.0,1.0,1.0,280
57-63-6,1.0,1.0,1.0,26
84-97-9,1.0,,,16
111696-23-2,,,,5
521-78-8,1.0,1.0,1.0,176
3737-33-5,,,,16
4245-41-4,1.0,1.0,1.0,26
75847-73-3,1.0,1.0,1.0,223
37686-84-3,,,,278
72-63-9,1.0,0.0,1.0,8
91296-86-5,,,,19
61949-76-6,1.0,0.0,0.0,75
52645-53-1,1.0,0.0,0.0,75
61949-77-7,1.0,0.0,0.0,75
7177-50-6,1.0,1.0,1.0,10
17617-23-1,1.0,1.0,1.0,231
80734-02-7,,,,10
2622-26-6,1.0,,,16
440-17-5,1.0,1.0,1.0,16
58-39-9,1.0,0.0,1.0,16
50-52-2,1.0,1.0,1.0,16
130-61-0,1.0,1.0,1.0,16
72-33-3,0.0,0.0,0.0,26
53-03-2,1.0,1.0,1.0,8
53-34-9,1.0,0.0,1.0,8
37661-08-8,1.0,0.0,1.0,10
63358-49-6,,,,10
3758-34-7,,,,26
50-24-8,1.0,1.0,1.0,8
53-06-5,,,,8
68-96-2,,,,8
152-58-9,,,,8
50-22-6,,,,8
50-23-7,1.0,0.0,1.0,8
83915-83-7,1.0,1.0,1.0,223
6000-74-4,1.0,1.0,1.0,8
32887-03-9,0.0,0.0,0.0,10
80-92-2,,,,54
68359-37-5,,,,75
1820573-27-0,,,,75
51022-74-3,,,,152
52918-63-5,,,,75
52315-07-8,,,,75
67375-30-8,,,,75
183321-74-6,1.0,1.0,1.0,387
39515-41-8,,,,75
443913-73-3,1.0,1.0,1.0,387
184475-35-2,1.0,1.0,1.0,387
69-23-8,1.0,1.0,1.0,16
1247-42-3,0.0,0.0,0.0,8
4419-39-0,,,,8
33817-20-8,0.0,0.0,0.0,10
52239-63-1,1.0,1.0,0.0,16
83-43-2,1.0,1.0,1.0,8
39219-28-8,,,,26
520-85-4,1.0,,,8
76703-62-3,,,,75
68085-85-8,,,,75
91465-08-6,,,,75
57-96-5,0.0,0.0,0.0,402
77883-43-3,1.0,1.0,1.0,400
59703-84-3,1.0,1.0,1.0,10
83-75-0,,,,280
5714-00-1,1.0,0.0,0.0,16
7753-60-8,,,,8
2998-57-4,1.0,,,26
52205-73-9,1.0,1.0,1.0,26
4891-15-0,1.0,1.0,1.0,26
87333-19-5,1.0,1.0,1.0,223
979-32-8,1.0,1.0,1.0,26
49697-38-3,,,,8
50-03-3,1.0,1.0,1.0,8
10397-75-8,,,,173
59017-64-0,,,,173
267243-28-7,,,,387
39515-40-7,,,,75
27470-51-5,1.0,,,402
113-38-2,,,,26
87679-37-6,1.0,1.0,1.0,223
474-25-9,1.0,1.0,1.0,54
302-95-4,0.0,0.0,0.0,54
6266-73-5,1.0,0.0,1.0,54
361-09-1,1.0,0.0,1.0,54
50-50-0,,,,26
1951-25-3,1.0,1.0,1.0,380
19774-82-4,1.0,1.0,1.0,380
17692-51-2,1.0,,,278
83105-70-8,,,,10
152-43-2,1.0,1.0,0.0,26
125-04-2,1.0,0.0,1.0,8
4956-37-0,,,,26
31127-82-9,,,,152
35531-88-5,1.0,0.0,1.0,10
26786-32-3,1.0,1.0,1.0,176
89778-27-8,1.0,1.0,1.0,377
10540-29-1,1.0,1.0,1.0,377
54965-24-1,1.0,1.0,1.0,377
68392-35-8,,,,377
68047-06-3,,,,377
313-06-4,1.0,1.0,0.0,26
81409-90-7,1.0,0.0,1.0,278
151287-22-8,,,,10
2236-31-9,,,,26
76-47-1,0.0,0.0,0.0,8
360-68-9,,,,54
516-92-7,,,,54
47739-98-0,,,,176
2508-47-6,,,,26
141626-36-0,1.0,1.0,1.0,380
55726-47-1,,,,196
129453-61-8,0.0,0.0,0.0,26
92339-11-2,,,,173
7060-74-4,0.0,0.0,0.0,53
118244-44-3,,,,8
114-07-8,1.0,1.0,1.0,53
81103-11-9,1.0,1.0,1.0,53
83905-01-5,1.0,1.0,1.0,53
37280-56-1,,,,53
3521-62-8,,,,53
134-36-1,,,,53
35457-80-8,,,,53
2751-09-9,,,,53
80214-83-1,,,,53
4564-87-8,,,,53
16846-24-5,,,,53
62013-04-1,,,,53
1264-62-6,,,,53
24916-51-6,,,,53
74610-55-2,,,,53
87-99-0,,,,211
488-82-4,,,,211
87-89-8,0.0,0.0,0.0,211
69-65-8,1.0,0.0,1.0,211
608-66-2,1.0,0.0,1.0,211
6706-59-8,1.0,0.0,1.0,211
50-70-4,1.0,0.0,1.0,211
5502-78-3,,,,321
4536-23-6,,,,65
58-93-5,1.0,1.0,1.0,119
22252-43-3,,,,5
59277-89-3,1.0,1.0,1.0,321
68373-14-8,1.0,0.0,1.0,10
1076-97-7,,,,65
4331-54-8,,,,65
1197-18-8,1.0,1.0,0.0,65
3164-85-0,,,,65
136-51-6,,,,65
2457-01-4,,,,65
149-57-5,,,,65
1069-66-5,1.0,1.0,1.0,65
99-66-1,1.0,1.0,1.0,65
1715-40-8,,,,35
133-67-5,1.0,1.0,1.0,119
135-07-9,1.0,1.0,0.0,119
122111-03-9,1.0,1.0,1.0,196
31698-14-3,,,,196
1824-58-4,,,,119
7481-89-2,1.0,1.0,1.0,196
147-94-4,1.0,1.0,1.0,196
69-74-9,1.0,1.0,1.0,196
82410-32-0,1.0,1.0,1.0,321
115-27-5,,,,35
3868-61-9,,,,35
115-28-6,,,,35
115-29-7,,,,35
33213-65-9,,,,35
959-98-8,,,,35
1031-07-8,,,,35
85-36-9,0.0,0.0,0.0,152
300-39-0,,,,315
